aaztru astro
aba haba
ababor babor
abad abad
abako ábaco
abakondo bogavante
abandonatu abandonado
abaninoa abanino
abantzatu avanzar
abarka abarca
abaxatu bajado
abazera aguacero
abellana avellana
abenka obenque
aberi avería
abertitu advertido
abilaio abalorio
abioi avión
abis aviso
abisme abismo
abito hábito
abogadu abogado
abonadu abonar
absolbatu absolver
abuila aguja
abuleta agujeta
abundatu abundar
abuntun bulto
aburritu aburrido
abusatu abusar
abuztu agosto
adarga adarga
adberbio adverbio
adiba adiva
adikatu fatigar
adio adiós
adjetibo adjetivo
administradore administrador
admiratu admirar
adobo adobo
adoptatu adoptar
adoratu adorar
adornatu adornar
adreilu ladrillo
adret diestro
adu hado
aduana aduana
adulterio adulterio
afaitatu afeitado
afan afan
afekto afecto
afijitu afligir
afrenta afrenta
agaratz agraz
agata agata
agilando aguinaldo
agilanto ailanto
agiloi aguilón
agoa goa
agonia agonía
agot agote
agrabiatu agraviar
agradatu agradar
aguada aguada
aguantatu aguantar
aguardient aguardiente
agudo agudo
aide aire
ailorbe alholva
aingeru ángel
aingira anguila
aingura ancla
aitzakia achaque
aiunke yunque
aiuntamentu ayuntamiento
aiuta ayuda
aje aje
ajustatu ajustar
akitrai alquitrán
akometatu acometer
aktual actual
alabantza alabanza
alabe alabe
alaga alaga
alanbre alambre
alano alano
alasa alacena
alba alba
albaka albahaca
albarda albarda
albiriste albricia
aldamio andamio
aldare altar
alegria alegría
alegustre ligustro
alferiz alférez
alkate alcalde
alkatxofa alcachofa
alkohol alcohol
almadia almadía
almaza almohaza
alpotxa alforja
altu alto
ami hambre
amiatü admirar
amirun almidón
amomo amomo
amorio amor
amürridak hemorroides
anakardo anacardo
anbar ambar
andar andar
anedo aneto
anega fanega
anere anillo
angarilla angarillas
angelu ángulo
angustia angustia
anil añil
animalia animal
animo ánimo
anparatu amparar
anple ámplio
anpola ampola
antapara antepara
antoju antojo
antsia ansia
antxoa anchoa
baba haba
babes pavés
babil pábilo
badia baya
bagats bagasa
baile baile
bainu baño
baka paca
bakailao bacalao
bakantza vacanza
bakazio vacación
bake paz
baketa vaqueta
bal baile
balago bálago
balakatu halagar
balanga palanka
balazo balazo
baldar baldar
baldos baldosa
balekio ballico
balent valiente
balentziana valencia
balesta ballesta
balio valor
balkoi balcón
baloi balón
baltsamina balsamina
balstamo bálsamo
balur baldio
banagloria vanagloria
banda labanda
bandera bandera
bandit bandido
banguardia vanguardia
banilla vainilla
bankero banquero
banket banquete
bano vano
bantzu banzo
bao vaho
bapo guapo
bapore vapore
bara vara
baradisu paraíso
baraila mejilla
barakuilo caracol
baroi barón
barra barra
barrika barrica
barrinoi barreño
barrota barrote
basko vasco
baso vaso
bastoi bastón
bateo baptizo
baxo bazo
baza bazo
bazka pasto
bazko pascua
beaza menaza
bedeinkatu bendecir
bedel bedel
beka beca
bekatu pecado
bela vela
beltxijoi vencejo
benda venda
beneratu venerar
benta venta
bentzario vencejo
berba verbo
berde verde
verdel verderón
berdulaga verdolaga
berenotsu venenoso
berga verga
berilo berilo
berlo berro
berna pierna
berrollo berrojo
besta fiesta
bestia bestia
bestitu vestir
beta veta
betelu abedul
betun betún
bezilla arvejilla
bigira vigilar
bike pez
biku higo
bilaun villano
binagre vinagre
biñer viñador
bioleta violeta
bionbo biombo
birrei virrey
birtuoso virtuoso
birtute virtud
biru hilo
bisera visera
bisiga vejiga
bisita visita
biskotxo bizcocho
bista vista
bitu vid
bixigu besugo
bizarro bizarro
bizio vicio
bizkunte visconde
blanko blanco
bobo bobo
boina boina
bokaran bocací
bola bola
bolbora pólvora
bolinu molino
bonet boina
bormu muermo
borogu proba
borondate voluntad
porru puerro
borta puerta
bortitz fuerte
bostaza mostaza
botere poder
botexa botella
botu voto
braga braga
brager bagra
brasa braza
brentsa prensa
briulet violeta
bukatu acabar
bulda bula
bullizio bullicio
bultza impulso
burgu burgo
burla burla
dabantail delantal
daboekena daboecia
dado dado
daferna taberna
daga daga
dainatu dañar
dama dama
danbor tambor
dantza danza
dardo dardo
dastatu tastar
dauka toca
dauko dauco
ddinddi dinero
debantal delantal
debatitu debatir
debekatu deviedo
deboratu devorar
debot devoto
debru diablo
defaut defecto
degaitu decaer
deklaratu declarar
dekor terco
deliberatu deliberar
demonio demonio
denario denario
denda tienda
dendal pender
denegatu denegar
denge dengue
dentzeju vencejo
deporte deporte
deretxo derecho
dermio término
derrota derrota
desagrada desagradable
desencusa escusa
deskantsautu descansar
deskarat descarado
deskargatu descargar
desobeditu desobedecer
despedida despedida
detxema diezmo
diabru diablo
dialekto dialecto
dibisa divisa
dibursa divorcio
didrakma didracma
dieta dieta
diharu dinero
dilubio diluvio
dindil péndulo
diozesa diocesa
diru dinero
disipula erisipela
disputa disputa
ditare dedal
ditxo dicho
doba adobo
dobloi doblón
doinu tono
dolore dolor
domek domicilio
donabera tenebrae
dono don
doratu dorar
dornu torno
dorpe torpe
dorre torre
dortoka tortuga
dosel dosel
dote dote
dotor doctor
dotrina doctrina
doxa dosis
driza driza
duda duda
dukado ducado
duranzau durazno
durduratu dudar
duro duro
dute té
dutxa ducha
dzurratü zurrar
ebaingeri evangelio
ebanjelio evangelio
ebanu ebano
ebilla hebilla
ebitatu evitar
eburni infierno
edade edad
edarra herrada
ejerzitu ejército
eleja iglesia
eglata elevado
eliza iglesia
enbei envidia
enbite envite
endelgu inteligencia
enea anea
enganatu engañar
enkailatu encallar
enkatxo encachado
enplegatu emplear
entraña entraña
entreditxo entredicho
entresilu entresijo
entterka introvertido
erdeiñu desdeño
eria feria
erida herida
eritu herir
erliebe relieve
erlikia reliquia
erlinga relinga
erlojero relojero
