Beginning classifier!
loading baseline...
507
507 8190 507 2
torch.Size([507, 8190]) torch.Size([507, 2])
loading baseline...
304
304 8190 304 2
torch.Size([304, 8190]) torch.Size([304, 2])
loading baseline...
1215
1215 8190 1215 2
torch.Size([1215, 8190]) torch.Size([1215, 2])
BASQUE RESULTS, NO FINE-TUNING----------------------------------------
Predicted tensor([0.8017, 0.1971]) Actual tensor([1., 0.])
Predicted tensor([0.6898, 0.3095]) Actual tensor([0., 1.])
Predicted tensor([0.2446, 0.7549]) Actual tensor([0., 1.])
Predicted tensor([0.6316, 0.3679]) Actual tensor([0., 1.])
Predicted tensor([ 1.0085, -0.0087]) Actual tensor([1., 0.])
Predicted tensor([ 1.0418, -0.0412]) Actual tensor([1., 0.])
Predicted tensor([0.2663, 0.7345]) Actual tensor([0., 1.])
Predicted tensor([0.0463, 0.9524]) Actual tensor([0., 1.])
Predicted tensor([0.0615, 0.9390]) Actual tensor([0., 1.])
Predicted tensor([0.6337, 0.3659]) Actual tensor([0., 1.])
Predicted tensor([0.8308, 0.1683]) Actual tensor([1., 0.])
Predicted tensor([0.7311, 0.2685]) Actual tensor([1., 0.])
Predicted tensor([0.6640, 0.3358]) Actual tensor([1., 0.])
Predicted tensor([0.9353, 0.0637]) Actual tensor([1., 0.])
Predicted tensor([ 1.0077, -0.0085]) Actual tensor([1., 0.])
Predicted tensor([0.5870, 0.4127]) Actual tensor([0., 1.])
Predicted tensor([-0.0724,  1.0702]) Actual tensor([0., 1.])
Predicted tensor([ 1.0086, -0.0090]) Actual tensor([0., 1.])
Predicted tensor([ 1.0265, -0.0274]) Actual tensor([1., 0.])
Predicted tensor([0.7604, 0.2401]) Actual tensor([1., 0.])
Predicted tensor([0.2234, 0.7752]) Actual tensor([0., 1.])
Predicted tensor([0.7203, 0.2791]) Actual tensor([1., 0.])
Predicted tensor([0.0541, 0.9456]) Actual tensor([0., 1.])
Predicted tensor([0.0930, 0.9061]) Actual tensor([0., 1.])
Predicted tensor([0.7744, 0.2244]) Actual tensor([1., 0.])
